username,user_id,post_id,is_video,media_url,like_count,comment_count,caption,location,timestamp,date_posted,post_url,thumbnail_url
ask__eastern,43074846811,3.04695E+18,FALSE,https://instagram.fagc1-1.fna.fbcdn.net/v/t51.2885-15/332943419_515332940795930_6412412018861216025_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fagc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=quU9ARJrQekAX_fyH50&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfAvYmrLkWfJ2PQM650JsgatGTspvH5op9GowOAueZ9EqA&oe=649B9250&_nc_sid=1349e3,48,60,"الى يعرف لايبخل بالاجابه♥️♥️
.
.
.
.

أسأل الشرقية حساب لتجمع الأسر المنتجة في الشرقية
أسئلتكم واستفساراتكم عن الشرقية انزلها هنا ونرد عليها بكل حب ❤️ تابعونا
___________________________
الصلاه على النبي""اللهم صلى على سيدنا محمد""
لاتبخلو بالاضافه والرد""خير الناس أنفعهم للناس""
____________________________
#أسال_الشرقية #استفسار #استشارات #تجارب #اسئله #الدمام #الشرقية #أسر_منتجة #حسابات #تجمع#دعم #مساعده #اضافات #الخبر #المنطقة_الشرقية#نشر #نصائح#اجابه #سؤال #اضافات #انستغرام #سناب #مساعدات #خدمة 

‏@ask__eastern","Dammam, Saudi Arabia",1677444295,26-02-2023 23:44:55,https://www.instagram.com/p/CpI7UnLr2uz/,https://instagram.fagc1-1.fna.fbcdn.net/v/t51.2885-15/332943419_515332940795930_6412412018861216025_n.jpg?stp=dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fagc1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=quU9ARJrQekAX_fyH50&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfC-dMR2waKDwNfAlY02pIUHDfecXiLN_a1gEd-KxbjZ3g&oe=649B9250&_nc_sid=1349e3
ask__eastern,43074846811,2.98763E+18,FALSE,https://instagram.fagc1-1.fna.fbcdn.net/v/t51.2885-15/318586134_881658342988839_7210830277783644402_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fagc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=GwbTOkFlvhgAX_LAgPH&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfCiq3q1VnKAOSIU5LV0EpeSwmZV0VHAS2cqIJa6-S96FQ&oe=649BAFF2&_nc_sid=1349e3,29,36,"أسأل الشرقية حساب لتجمع الأسر المنتجة في الشرقية
أسئلتكم واستفساراتكم عن الشرقية انزلها هنا ونرد عليها بكل حب ❤️ تابعونا
___________________________
الصلاه على النبي""اللهم صلى على سيدنا محمد""
لاتبخلو بالاضافه والرد""خير الناس أنفعهم للناس""
____________________________
#أسال_الشرقية #استفسار #استشارات #تجارب #اسئله #الدمام #الشرقية #أسر_منتجة #حسابات #تجمع#دعم #مساعده #اضافات #الخبر #المنطقة_الشرقية#نشر #نصائح#اجابه #سؤال #اضافات #انستغرام #سناب #مساعدات #خدمة 

@m3booojalwaleed","Dammam, Saudi Arabia",1670373470,7/12/2022 3:37,https://www.instagram.com/p/Cl2MyvhIZnI/,https://instagram.fagc1-1.fna.fbcdn.net/v/t51.2885-15/318586134_881658342988839_7210830277783644402_n.jpg?stp=c0.179.1440.1440a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fagc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=GwbTOkFlvhgAX_LAgPH&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfDbsqFmhM74o5F2yNrxszDPcW0v5s3nolUDcH40OvcDlQ&oe=649BAFF2&_nc_sid=1349e3
ask__eastern,43074846811,2.93099E+18,FALSE,https://instagram.fagc1-2.fna.fbcdn.net/v/t51.2885-15/307295347_1766468110377784_6184739070104764420_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fagc1-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=7dp0OG6KOEcAX8t8YEq&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfBR16cyVTTzsfWedofN5APgQHZ-itYXuZiPg9a7QW-zZA&oe=649CC974&_nc_sid=1349e3,38,51,"الى يعرف لايبخل بالاجابه♥️♥️
.
.
.
.

أسأل الشرقية حساب لتجمع الأسر المنتجة في الشرقية
أسئلتكم واستفساراتكم عن الشرقية انزلها هنا ونرد عليها بكل حب ❤️ تابعونا
___________________________
الصلاه على النبي""اللهم صلى على سيدنا محمد""
لاتبخلو بالاضافه والرد""خير الناس أنفعهم للناس""
____________________________
#أسال_الشرقية #استفسار #استشارات #تجارب #اسئله #الدمام #الشرقية #أسر_منتجة #حسابات #تجمع#دعم #مساعده #اضافات #الخبر #المنطقة_الشرقية#نشر #نصائح#اجابه #سؤال #اضافات #انستغرام #سناب #مساعدات #خدمة 

‏@ask__eastern","Dammam, Saudi Arabia",1663620900,19-09-2022 23:55:00,https://www.instagram.com/p/Cis9SaULajm/,https://instagram.fagc1-2.fna.fbcdn.net/v/t51.2885-15/307295347_1766468110377784_6184739070104764420_n.jpg?stp=dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fagc1-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=7dp0OG6KOEcAX8t8YEq&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfBO8FlXYeHxxYYhBYVOLOhIKLSNoPdu13PcsUJ_bt7aDA&oe=649CC974&_nc_sid=1349e3
ask__eastern,43074846811,2.93099E+18,FALSE,https://instagram.fagc1-2.fna.fbcdn.net/v/t51.2885-15/307840480_1992786731057904_321826121314863353_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fagc1-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=45BQ2FJgnjoAX85TQI4&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfChe8O16gbfpEWQsZJK81GuPCAYDZfvCewzMLzFb2TD5g&oe=649B8F3A&_nc_sid=1349e3,29,32,"الى يعرف لايبخل بالاجابه♥️♥️
.
.
.
.

أسأل الشرقية حساب لتجمع الأسر المنتجة في الشرقية
أسئلتكم واستفساراتكم عن الشرقية انزلها هنا ونرد عليها بكل حب ❤️ تابعونا
___________________________
الصلاه على النبي""اللهم صلى على سيدنا محمد""
لاتبخلو بالاضافه والرد""خير الناس أنفعهم للناس""
____________________________
#أسال_الشرقية #استفسار #استشارات #تجارب #اسئله #الدمام #الشرقية #أسر_منتجة #حسابات #تجمع#دعم #مساعده #اضافات #الخبر #المنطقة_الشرقية#نشر #نصائح#اجابه #سؤال #اضافات #انستغرام #سناب #مساعدات #خدمة 

‏@ask__eastern","Dammam, Saudi Arabia",1663620857,19-09-2022 23:54:17,https://www.instagram.com/p/Cis9NJpr0n0/,https://instagram.fagc1-2.fna.fbcdn.net/v/t51.2885-15/307840480_1992786731057904_321826121314863353_n.jpg?stp=dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fagc1-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=45BQ2FJgnjoAX85TQI4&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfAEMhxLcrZ1E9xhtPE3olH-hIDafX9oSWPDTfWZJYt1tw&oe=649B8F3A&_nc_sid=1349e3
ask__eastern,43074846811,2.93099E+18,FALSE,https://instagram.fagc1-2.fna.fbcdn.net/v/t51.2885-15/307793572_179648347901744_3926922088043415028_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fagc1-2.fna.fbcdn.net&_nc_cat=108&_nc_ohc=Vi0SYyDPrLgAX8BV78M&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfCdCH1JaKii8bCjqPS6H0H_BNNAwU5G73s8ErCkgpXysA&oe=649BCDD6&_nc_sid=1349e3,28,19,"الى يعرف لايبخل بالاجابه♥️♥️
.
.
.
.

أسأل الشرقية حساب لتجمع الأسر المنتجة في الشرقية
أسئلتكم واستفساراتكم عن الشرقية انزلها هنا ونرد عليها بكل حب ❤️ تابعونا
___________________________
الصلاه على النبي""اللهم صلى على سيدنا محمد""
لاتبخلو بالاضافه والرد""خير الناس أنفعهم للناس""
____________________________
#أسال_الشرقية #استفسار #استشارات #تجارب #اسئله #الدمام #الشرقية #أسر_منتجة #حسابات #تجمع#دعم #مساعده #اضافات #الخبر #المنطقة_الشرقية#نشر #نصائح#اجابه #سؤال #اضافات #انستغرام #سناب #مساعدات #خدمة 

‏@ask__eastern","Dammam, Saudi Arabia",1663620822,19-09-2022 23:53:42,https://www.instagram.com/p/Cis9I7dLWKI/,https://instagram.fagc1-2.fna.fbcdn.net/v/t51.2885-15/307793572_179648347901744_3926922088043415028_n.jpg?stp=dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fagc1-2.fna.fbcdn.net&_nc_cat=108&_nc_ohc=Vi0SYyDPrLgAX8BV78M&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfC-jxb9epKHZCtI_-t8mxJu9E_pyckXhydfnGIzscAZbA&oe=649BCDD6&_nc_sid=1349e3
ask__eastern,43074846811,2.93099E+18,FALSE,https://instagram.fagc1-1.fna.fbcdn.net/v/t51.2885-15/307866730_633358241490757_704440094929434611_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fagc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=ENHHDL2-cRIAX8v1G9x&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfCTDwIbTyOV0-buRqThetCVKKxLXW-XsS1MaZm7xptUWw&oe=649B6EE2&_nc_sid=1349e3,15,10,"الى يعرف لايبخل بالاجابه♥️♥️
.
.
.
.

أسأل الشرقية حساب لتجمع الأسر المنتجة في الشرقية
أسئلتكم واستفساراتكم عن الشرقية انزلها هنا ونرد عليها بكل حب ❤️ تابعونا
___________________________
الصلاه على النبي""اللهم صلى على سيدنا محمد""
لاتبخلو بالاضافه والرد""خير الناس أنفعهم للناس""
____________________________
#أسال_الشرقية #استفسار #استشارات #تجارب #اسئله #الدمام #الشرقية #أسر_منتجة #حسابات #تجمع#دعم #مساعده #اضافات #الخبر #المنطقة_الشرقية#نشر #نصائح#اجابه #سؤال #اضافات #انستغرام #سناب #مساعدات #خدمة 

‏@ask__eastern","Dammam, Saudi Arabia",1663620802,19-09-2022 23:53:22,https://www.instagram.com/p/Cis9Gb-r394/,https://instagram.fagc1-1.fna.fbcdn.net/v/t51.2885-15/307866730_633358241490757_704440094929434611_n.jpg?stp=dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fagc1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=ENHHDL2-cRIAX8v1G9x&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfBclsdFgOsr2D2ceIV2-bcpXo_8kMbbpNfLlLd4MG_72g&oe=649B6EE2&_nc_sid=1349e3
ask__eastern,43074846811,2.93098E+18,FALSE,https://instagram.fagc1-2.fna.fbcdn.net/v/t51.2885-15/307990471_1121517235449368_3652655483721926380_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fagc1-2.fna.fbcdn.net&_nc_cat=108&_nc_ohc=AaTQGPKYFVcAX_wY4H4&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfBMWERjK-qt8f7twDbnhshbTaqcEVS2eUtK8PoySPCp8Q&oe=649C4192&_nc_sid=1349e3,9,20,"الى يعرف لايبخل بالاجابه♥️♥️
.
.
.
.

أسأل الشرقية حساب لتجمع الأسر المنتجة في الشرقية
أسئلتكم واستفساراتكم عن الشرقية انزلها هنا ونرد عليها بكل حب ❤️ تابعونا
___________________________
الصلاه على النبي""اللهم صلى على سيدنا محمد""
لاتبخلو بالاضافه والرد""خير الناس أنفعهم للناس""
____________________________
#أسال_الشرقية #استفسار #استشارات #تجارب #اسئله #الدمام #الشرقية #أسر_منتجة #حسابات #تجمع#دعم #مساعده #اضافات #الخبر #المنطقة_الشرقية#نشر #نصائح#اجابه #سؤال #اضافات #انستغرام #سناب #مساعدات #خدمة 

‏@ask__eastern","Dammam, Saudi Arabia",1663620377,19-09-2022 23:46:17,https://www.instagram.com/p/Cis8SqyLPOT/,https://instagram.fagc1-2.fna.fbcdn.net/v/t51.2885-15/307990471_1121517235449368_3652655483721926380_n.jpg?stp=c0.86.1395.1395a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fagc1-2.fna.fbcdn.net&_nc_cat=108&_nc_ohc=AaTQGPKYFVcAX_wY4H4&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfDXbdnJ-8CVGudZucleqML1fTkIGEmm8sL4iF7Y4hPksw&oe=649C4192&_nc_sid=1349e3
ask__eastern,43074846811,2.93098E+18,FALSE,https://instagram.fagc1-2.fna.fbcdn.net/v/t51.2885-15/307859539_831438661636436_3252487090942313660_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fagc1-2.fna.fbcdn.net&_nc_cat=108&_nc_ohc=EVnAkCrg5Y0AX_wXWhQ&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfAXP4eULutQcMbeA2XEfZFoTcqPZR45bPfLYMYY_J3oEg&oe=649B45D4&_nc_sid=1349e3,13,8,"الى يعرف لايبخل بالاجابه♥️♥️
.
.
.
.

أسأل الشرقية حساب لتجمع الأسر المنتجة في الشرقية
أسئلتكم واستفساراتكم عن الشرقية انزلها هنا ونرد عليها بكل حب ❤️ تابعونا
___________________________
الصلاه على النبي""اللهم صلى على سيدنا محمد""
لاتبخلو بالاضافه والرد""خير الناس أنفعهم للناس""
____________________________
#أسال_الشرقية #استفسار #استشارات #تجارب #اسئله #الدمام #الشرقية #أسر_منتجة #حسابات #تجمع#دعم #مساعده #اضافات #الخبر #المنطقة_الشرقية#نشر #نصائح#اجابه #سؤال #اضافات #انستغرام #سناب #مساعدات #خدمة 

‏@ask__eastern","Dammam, Saudi Arabia",1663620327,19-09-2022 23:45:27,https://www.instagram.com/p/Cis8Mj8rTHC/,https://instagram.fagc1-2.fna.fbcdn.net/v/t51.2885-15/307859539_831438661636436_3252487090942313660_n.jpg?stp=dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fagc1-2.fna.fbcdn.net&_nc_cat=108&_nc_ohc=EVnAkCrg5Y0AX_wXWhQ&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfDzJaomyTjDbUagQviQ1LfyU2pXGG7jAY0p3-MdZ2bu3A&oe=649B45D4&_nc_sid=1349e3
ask__eastern,43074846811,2.93098E+18,FALSE,https://instagram.fagc1-1.fna.fbcdn.net/v/t51.2885-15/307440386_588285973083171_7158623524395178075_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fagc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=Tukz-vK19dgAX84Kpv3&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfB5SMIBGtYQVR7aqYjsSEl0kqQvg0123tMb1TNVSsH9BQ&oe=649CBB8B&_nc_sid=1349e3,13,18,"الى يعرف لايبخل بالاجابه♥️♥️
.
.
.
.

أسأل الشرقية حساب لتجمع الأسر المنتجة في الشرقية
أسئلتكم واستفساراتكم عن الشرقية انزلها هنا ونرد عليها بكل حب ❤️ تابعونا
___________________________
الصلاه على النبي""اللهم صلى على سيدنا محمد""
لاتبخلو بالاضافه والرد""خير الناس أنفعهم للناس""
____________________________
#أسال_الشرقية #استفسار #استشارات #تجارب #اسئله #الدمام #الشرقية #أسر_منتجة #حسابات #تجمع#دعم #مساعده #اضافات #الخبر #المنطقة_الشرقية#نشر #نصائح#اجابه #سؤال #اضافات #انستغرام #سناب #مساعدات #خدمة 

‏@ask__eastern","Dammam, Saudi Arabia",1663620170,19-09-2022 23:42:50,https://www.instagram.com/p/Cis75XsLBhf/,https://instagram.fagc1-1.fna.fbcdn.net/v/t51.2885-15/307440386_588285973083171_7158623524395178075_n.jpg?stp=dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fagc1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=Tukz-vK19dgAX84Kpv3&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfDW5OC5NE-WjvvinTcbVdERa0v8lbTcqxk8QA72bVEPXg&oe=649CBB8B&_nc_sid=1349e3
ask__eastern,43074846811,2.93098E+18,FALSE,https://instagram.fagc1-2.fna.fbcdn.net/v/t51.2885-15/307513977_109666225141396_2309511361820392238_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fagc1-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=BB9DnIDkJ-AAX8dIWJA&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfDXy3ST1HkOK7zSBOUQ2Y9N2SE_V8inOVCX6kLLmaf7hA&oe=649B0222&_nc_sid=1349e3,19,62,"الى يعرف لايبخل بالاجابه♥️♥️
.
.
.
.

أسأل الشرقية حساب لتجمع الأسر المنتجة في الشرقية
أسئلتكم واستفساراتكم عن الشرقية انزلها هنا ونرد عليها بكل حب ❤️ تابعونا
___________________________
الصلاه على النبي""اللهم صلى على سيدنا محمد""
لاتبخلو بالاضافه والرد""خير الناس أنفعهم للناس""
____________________________
#أسال_الشرقية #استفسار #استشارات #تجارب #اسئله #الدمام #الشرقية #أسر_منتجة #حسابات #تجمع#دعم #مساعده #اضافات #الخبر #المنطقة_الشرقية#نشر #نصائح#اجابه #سؤال #اضافات #انستغرام #سناب #مساعدات #خدمة 

‏@ask__eastern","Dammam, Saudi Arabia",1663620027,19-09-2022 23:40:27,https://www.instagram.com/p/Cis7n62LD7p/,https://instagram.fagc1-2.fna.fbcdn.net/v/t51.2885-15/307513977_109666225141396_2309511361820392238_n.jpg?stp=dst-jpg_e35_s640x640_sh0.08&_nc_ht=instagram.fagc1-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=BB9DnIDkJ-AAX8dIWJA&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfAEG7WRV1839CsepSx-ETokAjviYl_BPUWVwRSB-pNkwg&oe=649B0222&_nc_sid=1349e3
