username,user_id,post_id,is_video,media_url,like_count,comment_count,caption,location,timestamp,date_posted,post_url,thumbnail_url
pamelamvaldez,212357078,3126496266087286541,True,https://scontent-iad3-1.cdninstagram.com/v/t50.2886-16/10000000_785617883178554_2884259553105497991_n.mp4?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=llZMGOAjRdMAX_fRZ-i&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfCm8WUMwi67yjVAXIGRHMWUVqKeAHrqZBNoRHuidYmqMQ&oe=6498EE66&_nc_sid=1349e3,3587,60,"For new hairstyles or new adventures, the new @microsoft AI powered Bing is here to help! Download it and give it a try. #sponsored ✨👩🏻‍💻",,1686927675,16-06-2023 18:01:15,https://www.instagram.com/p/Ctji8oDt8cN/,https://scontent-iad3-2.cdninstagram.com/v/t51.2885-15/354434128_991015735659239_4527593427840946013_n.jpg?stp=c0.268.686.686a_dst-jpg_e15_s640x640&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=111&_nc_ohc=R94zcYNvPdoAX8LWG2F&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfBzrdxBH0ahVP5Czgp_9fqmNkdI3GUwV9uc_-2FgqPeiQ&oe=6498C6B1&_nc_sid=1349e3
microsoft,524549267,3106243690275740667,True,https://scontent-iad3-2.cdninstagram.com/v/t66.30100-16/334146678_198608006444195_999637578606511241_n.mp4?_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=111&_nc_ohc=QW5p-PQM3JEAX8xGiAx&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfCOs9Y37gm5GBvIE4rE6m4hetUCrs2u5JwRCWtRG45hpQ&oe=6498A562&_nc_sid=1349e3,4461,313,A very #WesAnderson day at the office 🎥,,1684513157,19-05-2023 19:19:17,https://www.instagram.com/p/CsbmC3Arxv7/,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/347841414_261311566464445_4564174533619733547_n.jpg?stp=c0.280.720.720a_dst-jpg_e15_s640x640&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=-dwLK1VyotgAX-W8Zrc&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfDYsu-YxOj7JKGCsc0Ns5ZFyWKszU-3hB9awupy2vYRMQ&oe=6498D1CA&_nc_sid=1349e3
microsoft,524549267,3111322910873380847,False,https://scontent-iad3-2.cdninstagram.com/v/t51.2885-15/349038610_3343073515910598_8950956702977302065_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=106&_nc_ohc=w0rXyRjnNzkAX9Ng3Hv&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfBuIo7QkZmx-MuDEnpVev2q4IfRsP0v5ZjqAwCcyJxBPQ&oe=649CD633&_nc_sid=1349e3,8940,38,And we couldn’t be more excited about it.,,1685118615,26-05-2023 19:30:15,https://www.instagram.com/p/Csto7P0JGfv/,https://scontent-iad3-2.cdninstagram.com/v/t51.2885-15/349038610_3343073515910598_8950956702977302065_n.jpg?stp=c0.0.818.818a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=106&_nc_ohc=w0rXyRjnNzkAX9Ng3Hv&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfCTD2qHSb1pg-_NjEtZLWCP8q3CHs0aFuAC952zJy25UQ&oe=649CD633&_nc_sid=1349e3
microsoft,524549267,3130212311166636763,False,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/355666091_277059474984849_799060608606826830_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=109&_nc_ohc=8RVJnkq5pFAAX_q8LqX&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfD0dF80n-hDKw0ROqnoViz8R7Xd7-_x5wGhN58sU2EVfQ&oe=649BF8E2&_nc_sid=1349e3,5747,125,😐,,1687370412,21-06-2023 21:00:12,https://www.instagram.com/p/Ctwv4MupFLb/,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/355666091_277059474984849_799060608606826830_n.jpg?stp=dst-jpg_e35_s640x640_sh0.08&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=109&_nc_ohc=8RVJnkq5pFAAX_q8LqX&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfBZwFqLV12OKUy4wlimA2voxbyUycSePPxxZhb2y5IDeQ&oe=649BF8E2&_nc_sid=1349e3
microsoft,524549267,3129585169958736722,True,https://scontent-iad3-2.cdninstagram.com/v/t66.30100-16/10000000_639160448108532_6577385312852781895_n.mp4?_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=100&_nc_ohc=XSEjkyaNU7sAX9YQO0p&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfC6wwzjtfwlCJWBZzzdFmIepQSzwRvDiSBXXOFud6pA7Q&oe=6498D668&_nc_sid=1349e3,1338,25,"We are too. 🥰 Learn why Candace Solola, Founder of SO Dsgn is “kind of obsessed” with #Bing Image Creator in her pursuit of all things creative design. #AI #Microsoft",,1687295764,21-06-2023 00:16:04,https://www.instagram.com/p/CtuhSF9uJNS/,https://scontent-iad3-2.cdninstagram.com/v/t51.2885-15/355058476_786902439738882_8485181110798398958_n.jpg?stp=c0.280.720.720a_dst-jpg_e15_s640x640&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=106&_nc_ohc=0JiWwpaH8-sAX_HXzgD&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfBYQpvq8Cw04K7iwe5hOV8EmvOm0F7tJjhqkAxMLFBZcA&oe=64987664&_nc_sid=1349e3
bri.monee,1437195054,3129451357598284237,True,https://scontent-iad3-2.cdninstagram.com/v/t50.2886-16/10000000_142180345547610_8065116082456927375_n.mp4?_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=106&_nc_ohc=gz2CsC0DSE8AX_hSXrZ&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfA6pl4CRVHDVPWdZpnSrBCj5m7_ptqqffAf36TTLewzgw&oe=6498597E&_nc_sid=1349e3,-1,87,Eating healthy is a priority for me but so is efficiency because y’all know I’m #fakedomestic! @Microsoft’s new AI-powered Bing was the perfect solution to help me find quick and healthy recipes and honestly is a great tool to find answers for many things from planning a meal to planning a vacation… it’s limitless. #sponsored,,1687279724,20-06-2023 19:48:44,https://www.instagram.com/p/CtuC23fgnnN/,https://scontent-iad3-2.cdninstagram.com/v/t51.2885-15/355412140_739994211208632_9126616952864180629_n.jpg?stp=c0.816.2106.2106a_dst-jpg_e35_s640x640_sh0.08&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=100&_nc_ohc=XyH5eWhOHtoAX-HW_da&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfDrjEx7_kNEWw0qZhXkmqoEDBzvit9oa4upxq7auswWJg&oe=6498BAC0&_nc_sid=1349e3
microsoft,524549267,3126543111236876388,False,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/354417108_1340075683280397_5532022668866169935_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=109&_nc_ohc=inL1guaSw7oAX-0BE3H&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfCJfXfcN4GlK0N1zTQ5GjgHbISocxpvVPReGEdFH706bw&oe=649C3A19&_nc_sid=1349e3,4264,72,"Ever wonder how Koalas get work done? We asked the @bing Image Creator to help us picture it. 

This is the prompt we used: a group of koalas working in their treehouse office, during a meeting, wearing business attire, wide shot",,1686933010,16-06-2023 19:30:10,https://www.instagram.com/p/CtjtmUAN_hk/,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/354417108_1340075683280397_5532022668866169935_n.jpg?stp=dst-jpg_e35_s640x640_sh0.08&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=109&_nc_ohc=inL1guaSw7oAX-0BE3H&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfBPFXHUO8O0ILX0ZDGqAngaWgq14ZljzEtllQ1VL0Azqw&oe=649C3A19&_nc_sid=1349e3
microsoftlife,248249447,3125093776938152437,True,https://scontent-iad3-2.cdninstagram.com/v/t66.30100-16/320795485_639191178120363_1069276517900821006_n.mp4?_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=103&_nc_ohc=R2bjAyKsc8sAX-8PG79&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfBy8jaeJcOEwGp8M08PnpSRx9X1LtbALohEdBIrZvFzDg&oe=6498809F&_nc_sid=1349e3,-1,78,"Time to take a break? Snacking at your desk is fine but there’s a better way to break. Studies show that jotting down a few sources of gratitude can lead to more optimism.
 
TIP: Try using a gratitude journal. Create a doc and open it each day before or after lunch to jot down 2-3 things you’re grateful for. You might be surprised by what actions and feelings you get from this practice.

We’re grateful for snack breaks ... away from the desk. What are you grateful for?
 
S/o to Software Engineer Martin G. for providing the talent for this PSA.
 
#PeopleOfMicrosoft #MicrosoftLife #Microsoft #FlexibleWork #CareerTips #Wellbeing

Description: The video opens with Martin pulling a candy bar out of his desk drawer, then pulls an orange from a potted plant, then candy from a suitcase, and then an ear of corn from behind his monitor.",,1686765342,14-06-2023 20:55:42,https://www.instagram.com/p/CtekDuQLrH1/,https://scontent-iad3-2.cdninstagram.com/v/t51.2885-15/353943501_566359825661955_4234599692804951442_n.jpg?stp=c0.280.720.720a_dst-jpg_e15_s640x640&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=103&_nc_ohc=GtN9WW-mrUoAX8LbFOn&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfBLDcPGzR1p0J-TvGxOl5iLZZmT5FmuXCm4nNHMrkmZHg&oe=6498E90C&_nc_sid=1349e3
microsoft,524549267,3124401260286337533,True,https://scontent-iad3-2.cdninstagram.com/v/t66.30100-16/10000000_582134107315278_1142189464446253920_n.mp4?_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=106&_nc_ohc=aLhchsuzM_IAX9Z6vZC&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfAHJZRzlrNlrp_pVfLdAbpp9rM93v_olM_NV2BgRAPh3g&oe=649882ED&_nc_sid=1349e3,25401,353,The Magic Man Experience uses Microsoft AI to transport fans into Jackson Wang’s captivating imagination. ✨ @88rising,,1686678436,13-06-2023 20:47:16,https://www.instagram.com/p/CtcGmR3JmH9/,https://scontent-iad3-2.cdninstagram.com/v/t51.2885-15/354028186_995910281843472_1008650141577974124_n.jpg?stp=c0.280.720.720a_dst-jpg_e15_s640x640&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=100&_nc_ohc=b40TimzoN84AX_QW2uI&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfBFyHZgHCFBJ16qv_QvhvYVE6Bl16GtSZtqfm70ywZvPQ&oe=64988DE6&_nc_sid=1349e3
microsoft,524549267,3120744900874156304,False,https://scontent-iad3-2.cdninstagram.com/v/t51.2885-15/351292804_279979347819047_2037738116983753795_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=111&_nc_ohc=-BOuJlaXRHgAX9HHNig&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfDXjRWCQy7exHieP9qunITk3ZmYec78hC4FV5FKID9ZjA&oe=649BD8CF&_nc_sid=1349e3,4771,44,"What’s a racoon’s favorite email sign-off? 

Happy rummaging, 
🦝 

We used @bing Image Creator to bring our imagination of an emailing racoon to life. Here’s the prompt we used: raccoon at a standing desk with a laptop sending an email to other colleagues in an open office concept, office is creative and bright, no one else in room, wide shot.",,1686241809,08-06-2023 19:30:09,https://www.instagram.com/p/CtPHPPzNzkQ/,https://scontent-iad3-2.cdninstagram.com/v/t51.2885-15/351292804_279979347819047_2037738116983753795_n.jpg?stp=dst-jpg_e35_s640x640_sh0.08&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=111&_nc_ohc=-BOuJlaXRHgAX9HHNig&edm=AKEQFekBAAAA&ccb=7-5&oh=00_AfDaqjaR-tsRatZkp1AkR3xTOr9SSeXBkSSTRs9psM2-gw&oe=649BD8CF&_nc_sid=1349e3
